Prov_res	Procom_res	Prov_lav	Procom_lav	Pendolari
001	001001	001	001001	214
001	001008	001	001001	2
001	001015	001	001001	14
001	001017	001	001001	6
001	001023	001	001001	1
001	001029	001	001001	4
001	001030	001	001001	1
001	001033	001	001001	5
001	001036	001	001001	1
001	001043	001	001001	4
001	001047	001	001001	9
001	001066	001	001001	43
001	001067	001	001001	5
001	001082	001	001001	3
001	001083	001	001001	14
001	001090	001	001001	3
001	001091	001	001001	1
001	001092	001	001001	1
001	001096	001	001001	9
001	001098	001	001001	32
001	001101	001	001001	22
001	001102	001	001001	8
001	001105	001	001001	1
001	001106	001	001001	3
001	001107	001	001001	5
001	001109	001	001001	1
001	001125	001	001001	9
001	001129	001	001001	1
001	001130	001	001001	6
001	001132	001	001001	3
001	001134	001	001001	3
001	001135	001	001001	2
001	001141	001	001001	6
001	001148	001	001001	5
001	001150	001	001001	2
001	001156	001	001001	5
001	001159	001	001001	5
001	001160	001	001001	3
001	001161	001	001001	3
001	001162	001	001001	4
001	001166	001	001001	1
001	001167	001	001001	3
001	001170	001	001001	5
001	001176	001	001001	11
001	001177	001	001001	3
001	001179	001	001001	2
001	001181	001	001001	2
001	001185	001	001001	1
001	001187	001	001001	1
001	001199	001	001001	6
001	001206	001	001001	1
001	001216	001	001001	3
001	001217	001	001001	35
001	001223	001	001001	5
001	001225	001	001001	3
001	001230	001	001001	5
001	001231	001	001001	7
001	001233	001	001001	2
001	001235	001	001001	1
001	001236	001	001001	3
001	001244	001	001001	30
001	001246	001	001001	17
001	001247	001	001001	4
001	001248	001	001001	1
001	001249	001	001001	4
001	001265	001	001001	4
001	001269	001	001001	10
001	001272	001	001001	13
001	001274	001	001001	8
001	001287	001	001001	6
001	001296	001	001001	1
001	001298	001	001001	1
001	001311	001	001001	3
001	001312	001	001001	4
001	001313	001	001001	2
001	001314	001	001001	4
001	001316	001	001001	3
001	001317	001	001001	5
001	001318	001	001001	3
004	004180	001	001001	1
001	001002	001	001002	260
001	001008	001	001002	8
001	001013	001	001002	1
001	001024	001	001002	53
001	001025	001	001002	11
001	001026	001	001002	1
001	001028	001	001002	7
001	001034	001	001002	1
001	001035	001	001002	38
001	001038	001	001002	12
001	001040	001	001002	1
001	001041	001	001002	14
001	001045	001	001002	1
001	001048	001	001002	1
001	001051	001	001002	11
001	001053	001	001002	13
001	001058	001	001002	4
001	001059	001	001002	8
001	001060	001	001002	1
001	001063	001	001002	1
001	001065	001	001002	9
001	001066	001	001002	4
001	001070	001	001002	17
001	001071	001	001002	26
001	001078	001	001002	9
001	001089	001	001002	1
001	001090	001	001002	17
001	001097	001	001002	31
001	001099	001	001002	4
001	001104	001	001002	2
001	001110	001	001002	20
001	001111	001	001002	4
001	001115	001	001002	21
001	001120	001	001002	14
001	001122	001	001002	7
001	001127	001	001002	4
001	001139	001	001002	19
001	001140	001	001002	4
001	001142	001	001002	6
001	001156	001	001002	50
001	001164	001	001002	56
001	001168	001	001002	66
001	001171	001	001002	59
001	001173	001	001002	16
001	001178	001	001002	2
001	001183	001	001002	8
001	001184	001	001002	13
001	001189	001	001002	11
001	001190	001	001002	18
001	001191	001	001002	266
001	001193	001	001002	5
001	001194	001	001002	59
001	001195	001	001002	68
001	001197	001	001002	4
001	001198	001	001002	3
001	001200	001	001002	6
001	001201	001	001002	4
001	001205	001	001002	5
001	001211	001	001002	1
001	001214	001	001002	30
001	001219	001	001002	24
001	001222	001	001002	7
001	001227	001	001002	2
001	001228	001	001002	4
001	001229	001	001002	1
001	001236	001	001002	1
001	001241	001	001002	1
001	001242	001	001002	16
001	001246	001	001002	1
001	001249	001	001002	4
001	001250	001	001002	7
001	001254	001	001002	29
001	001256	001	001002	2
001	001257	001	001002	1
001	001260	001	001002	84
001	001263	001	001002	1
001	001265	001	001002	4
001	001272	001	001002	354
001	001275	001	001002	24
001	001276	001	001002	5
001	001280	001	001002	9
001	001284	001	001002	1
001	001285	001	001002	2
001	001292	001	001002	8
