Codice Univoco Submisura;Regione;stato di avanzamento;Descrizione Regione;missione;Descrizione Submisura;progetto;in gara;aggiudicato;importo;progetto_n;in_gara_n;aggiudicato_n;projects_n;importo_procapite;progetto_procapite;in_gara_procapite;aggiudicato_procapite;popolazione
M1C1I1.02.00;004;progetto;TRENTINO ALTO ADIGE / SÜDTIROL;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);13681665;0;0;13681665;321;0;0;321;12.723378315417687;12.723378315417687;0;0;1075317
M1C1I1.02.00;005;progetto;VENETO;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);48369443;0;0;48369443;591;0;0;591;9.997295098044686;9.997295098044686;0;0;4838253
M1C1I1.02.00;008;progetto;EMILIA-ROMAGNA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);36015666;0;0;36015666;452;0;0;452;8.135586994957453;8.135586994957453;0;0;4426929
M1C1I1.02.00;003;progetto;LOMBARDIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);109912258;0;0;109912258;1505;0;0;1505;11.04563438585786;11.04563438585786;0;0;9950742
M1C1I1.02.00;007;progetto;LIGURIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);19103523;0;0;19103523;271;0;0;271;12.713441952211598;12.713441952211598;0;0;1502624
M1C1I1.02.00;012;progetto;LAZIO;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);30142269;0;0;30142269;555;0;0;555;5.281527504629311;5.281527504629311;0;0;5707112
M1C1I1.02.00;001;progetto;PIEMONTE;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);62268170;0;0;62268170;1140;0;0;1140;14.683340344694884;14.683340344694884;0;0;4240736
M1C1I1.02.00;020;progetto;SARDEGNA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);25596467;0;0;25596467;444;0;0;444;16.25143616494437;16.25143616494437;0;0;1575028
M1C1I1.02.00;018;progetto;CALABRIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);20920737.999999996;0;0;20920737.999999996;420;0;0;420;11.361938847553358;11.361938847553358;0;0;1841300
M1C1I1.02.00;010;progetto;UMBRIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);5928526;0;0;5928526;118;0;0;118;6.940954437051667;6.940954437051667;0;0;854137
M1C1I1.02.00;015;progetto;CAMPANIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);41391448;0;0;41391448;798;0;0;798;7.401672515613335;7.401672515613335;0;0;5592175
M1C1I1.02.00;016;progetto;PUGLIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);28743281;0;0;28743281;372;0;0;372;7.3684623256662904;7.3684623256662904;0;0;3900852
M1C1I1.02.00;014;progetto;MOLISE;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);5519427;0;0;5519427;99;0;0;99;19.043013386696106;19.043013386696106;0;0;289840
M1C1I1.02.00;013;progetto;ABRUZZO;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);17604742;0;0;17604742;329;0;0;329;13.863529837934891;13.863529837934891;0;0;1269860
M1C1I1.02.00;011;progetto;MARCHE;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);14135074;0;0;14135074;258;0;0;258;9.545314514271977;9.545314514271977;0;0;1480839
M1C1I1.02.00;006;progetto;FRIULI-VENEZIA GIULIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);3373629;0;0;3373629;94;0;0;94;2.8297722428704795;2.8297722428704795;0;0;1192191
M1C1I1.02.00;019;progetto;SICILIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);29411532;0;0;29411532;524;0;0;524;6.124830071370025;6.124830071370025;0;0;4802016
M1C1I1.02.00;017;progetto;BASILICATA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);5298033;0;0;5298033;146;0;0;146;9.872252212298685;9.872252212298685;0;0;536659
M1C1I1.02.00;002;progetto;VALLE D'AOSTA / VALLÉE D'AOSTE;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);3676043;0;0;3676043;93;0;0;93;29.89746655280387;29.89746655280387;0;0;122955
M1C1I1.02.00;009;progetto;TOSCANA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);32798104;0;0;32798104;394;0;0;394;8.982946752148363;8.982946752148363;0;0;3651152
M1C1I1.02.00;011;in gara;MARCHE;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);0;83044;0;83044;0;1;0;1;0.056079020069028436;0;0.056079020069028436;0;1480839
M1C1I1.02.00;019;in gara;SICILIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);0;47427;0;47427;0;1;0;1;0.009876476879710522;0;0.009876476879710522;0;4802016
M1C1I1.02.00;018;in gara;CALABRIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);0;47427;0;47427;0;1;0;1;0.0257573453538261;0;0.0257573453538261;0;1841300
M1C1I1.02.00;014;in gara;MOLISE;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);0;47427;0;47427;0;1;0;1;0.16363165884626;0;0.16363165884626;0;289840
M1C1I1.02.00;004;in gara;TRENTINO ALTO ADIGE / SÜDTIROL;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);0;822474;0;822474;0;1;0;1;0.7648665463300589;0;0.7648665463300589;0;1075317
M1C1I1.02.00;003;in gara;LOMBARDIA;M1;Abilitazione al cloud per le PA locali (M1C1I1.02.00);0;220354;0;220354;0;1;0;1;0.022144479276017807;0;0.022144479276017807;0;9950742
M1C1I1.03.01;99;progetto;ITALIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);57602490;0;0;57602490;1948;0;0;1948;0.9787899440545473;0.9787899440545473;0;0;58850717
M1C1I1.03.01;005;aggiudicato;VENETO;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);0;0;5086;5086;0;0;1;1;0.0010512058794775719;0;0;0.0010512058794775719;4838253
M1C1I1.03.01;013;progetto;ABRUZZO;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);71202;0;0;71202;3;0;0;3;0.056070747956467645;0.056070747956467645;0;0;1269860
M1C1I1.03.01;99;aggiudicato;ITALIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);0;0;5086;5086;0;0;1;1;0.00008642205667604696;0;0;0.00008642205667604696;58850717
M1C1I1.03.01;011;progetto;MARCHE;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);20344;0;0;20344;2;0;0;2;0.013738157895625385;0.013738157895625385;0;0;1480839
M1C1I1.03.01;003;progetto;LOMBARDIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);617181;0;0;617181;7;0;0;7;0.062023615927334866;0.062023615927334866;0;0;9950742
M1C1I1.03.01;019;progetto;SICILIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);30516;0;0;30516;2;0;0;2;0.006354830970992183;0.006354830970992183;0;0;4802016
M1C1I1.03.01;016;progetto;PUGLIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);30516;0;0;30516;2;0;0;2;0.00782290638045227;0.00782290638045227;0;0;3900852
M1C1I1.03.01;018;progetto;CALABRIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);71204;0;0;71204;4;0;0;4;0.038670504534839514;0.038670504534839514;0;0;1841300
M1C1I1.03.01;008;progetto;EMILIA-ROMAGNA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);474775;0;0;474775;1;0;0;1;0.10724703287538608;0.10724703287538608;0;0;4426929
M1C1I1.03.01;017;progetto;BASILICATA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);50860;0;0;50860;4;0;0;4;0.09477154021454964;0.09477154021454964;0;0;536659
M1C1I1.03.01;005;progetto;VENETO;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);71203;0;0;71203;3;0;0;3;0.014716675626512297;0.014716675626512297;0;0;4838253
M1C1I1.03.01;015;progetto;CAMPANIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);132235;0;0;132235;9;0;0;9;0.02364643452681649;0.02364643452681649;0;0;5592175
M1C1I1.03.01;009;progetto;TOSCANA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);20344;0;0;20344;1;0;0;1;0.005571940034268637;0.005571940034268637;0;0;3651152
