codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
RMSD06001L,RMSD06000G,statale,PERCORSO II LIV SEZ CARC ROMA 2,ISTITUTO D'ARTE,C.C.F.REBIBBIA,00159,H501,Roma,,,nessuna,,,,1,0,0,0,0,LICEO,1,pochi_alunni
RMRH04001P,RMRH04000N,statale,VESPUCCI - SEZ. CARC.,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,Non Disponibile,Non Disponibile,H501,Roma,,,nessuna,,,,67,7,1,6,10.4,PROFESSIONALE,1,
RMRI03401V,RMIS034007,statale,EUROPA,IST PROF INDUSTRIA E ARTIGIANATO,VIA ROMOLO TRINCHERI 49,00172,H501,Roma,,,nessuna,,,,346,89,27,62,25.7,PROFESSIONALE,1,
RMRH06102R,RMIS06100G,statale,PERCORSO II LIV SEZ CARC DOMIZIA LUCILLA,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,SEZIONE CARCERARIA IS. PENALE CASAL DEL MARMO,Non Disponibile,H501,Roma,,,nessuna,,,,11,4,1,3,36.4,PROFESSIONALE,1,pochi_alunni
RMTD11102P,RMIS11100B,statale,POLICLINICO GEMELLI-SEZIONE OSPEDALIERA,ISTITUTO TECNICO COMMERCIALE,Non Disponibile,00168,H501,Roma,,,nessuna,,,,,,,,,,,
RMAA83702C,RMIC83700E,statale,ANTONI GAUDI',SCUOLA INFANZIA,VIA E. FLORIAN,00173,H501,Roma,,,nessuna,,,,,,,,,,,
RMMM8FZ013,RMIC8FZ002,statale,I. C. PIAZZA FORLANINI,SCUOLA PRIMO GRADO,VIA DI VAL TELLINA 50,00151,H501,Roma,,,nessuna,,,,336,49,4,45,14.6,,,
RMEE8GR04T,RMIC8GR00L,statale,SC. PRIMARIA SELVA CANDIDA,SCUOLA PRIMARIA,VIA SS. AUDIFACE E ABACUS SNC,00135,H501,Roma,,,nessuna,,,,290,15,7,8,5.2,,,
RMEE8BK028,RMIC8BK005,statale,UNIVERSITA' CLINICA ORTOPEDICA,SCUOLA PRIMARIA,P.LE SCIENZE,00185,H501,Roma,,,nessuna,,,,,,,,,,,
RMRC02201X,RMIS022001,statale,PERCORSO II LIV. SEZ CARC J. VON NEUMANN,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,C.C. REBIBBIA,00156,H501,Roma,,,nessuna,,,,11,1,0,1,9.1,PROFESSIONALE,1,pochi_alunni
RMTA06002L,RMTA06000E,statale,"PERCORSO II LIV SEZ CARC ""SERENI""",ISTITUTO TECNICO AGRARIO,REBIBBIA,00156,H501,Roma,,,nessuna,,,,14,0,0,0,0,TECNICO,1,pochi_alunni
RMAA8FX028,RMIC8FX00A,statale,VIA GIOVANNI PONTI,SCUOLA INFANZIA,VIA GIOVANNI PONTI S.N.C.,00163,H501,Roma,,,nessuna,,,,,,,,,,,
RMPC27001B,RMPC27000A,statale,SEZIONE OSPEDALIERA,LICEO CLASSICO,Non Disponibile,Non Disponibile,H501,Roma,,,nessuna,,,,,,,,,,,
RMTF02201D,RMIS022001,statale,PERCORSO II LIV. SEZ CARC J. VON NEUMANN,ISTITUTO TECNICO INDUSTRIALE,C.C. REBIBBIA,00156,H501,Roma,,,nessuna,,,,241,61,14,47,25.3,TECNICO,1,
RMEE806011,RMIC80600V,statale,OSPEDALE BAMBIN GESU',SCUOLA PRIMARIA,VIA S. ONOFRIO,00165,H501,Roma,,,nessuna,,,,,,,,,,,
RMEE8FL026,RMIC8FL003,statale,SEGURANA,SCUOLA PRIMARIA,VIA CATERINA SEGURANA 2-3,00122,H501,Roma,,,nessuna,,,,297,27,11,16,9.1,,,
RMAA841035,RMIC841006,statale,FRA' ANDREA DI GIOVANNI,SCUOLA INFANZIA,VIA FRA' ANDREA DI GIOVANNI,00126,H501,Roma,,,nessuna,,,,,,,,,,,
RMEE8BK039,RMIC8BK005,statale,UNIVERSITA' CLINICA PEDIATRICA,SCUOLA PRIMARIA,V.LE UNIVERSITA' POLICLI.,00185,H501,Roma,,,nessuna,,,,,,,,,,,
RMAA841046,RMIC841006,statale,VIA DELLA MAGGIORANA,SCUOLA INFANZIA,VIA DELLA MAGGIORANA,00126,H501,Roma,,,nessuna,,,,,,,,,,,
RMAA8E702N,RMIC8E700Q,statale,S. RITA,SCUOLA INFANZIA,VIALE S. RITA DA CASCIA,00133,H501,Roma,,,nessuna,,,,,,,,,,,
RMTD022017,RMIS022001,statale,PERCORSO II LIV. SEZ CARC J. VON NEUMANN,ISTITUTO TECNICO COMMERCIALE,C.C. REBIBBIA,00156,H501,Roma,,,nessuna,,,,241,62,8,54,25.7,TECNICO,1,
RMAA83401X,RMIC834003,statale,VIA ORIOLI,SCUOLA INFANZIA,VIA ORIOLI SNC,00059,H501,Roma,,,nessuna,,,,,,,,,,,
RMAA8AG016,RMIC8AG009,statale,VIA GIUSTINIANA,SCUOLA INFANZIA,VIA GIUSTINIANA,00188,H501,Roma,,,nessuna,,,,,,,,,,,
RMEE82005B,RMIC820005,statale,MIGLIACCIO ANTONELLO MAURO,SCUOLA PRIMARIA,VIA ELENA BRANDIZZI GIANNI 68,00156,H501,Roma,,,nessuna,,,,83,14,4,10,16.9,,,
RM1A0Z5007,,paritaria,LA MIMOSA BIRICHINA 2,SCUOLA INFANZIA NON STATALE,VIA GIUSTO BELLAVITIS SNC,00134,H501,Roma,,,nessuna,,,,,,,,,,,
RMPMI75006,,paritaria,LICEO DEL MADE IN ITALY- Poliziano,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA TRAVICELLA 55/61,00179,H501,Roma,,,nessuna,,,,,,,,,,,
RM1AEQ5004,,paritaria,LA PIMPA,SCUOLA INFANZIA NON STATALE,VIA L. GUGLIEMI 91,00127,H501,Roma,,,nessuna,,,,,,,,,,,
RMPM00500N,,paritaria,COMUNITA' EBRAICA ROMA RENZO LEVI- LICEO SCIENZE SOCIALI,SCUOLA SEC. SECONDO GRADO NON STATALE,DA INSERIRE,00186,H501,Roma,,,nessuna,,,,69,1,1,0,1.4,LICEO,1,
RM1A0R5006,,paritaria,SCUOLA INFANZIA COSI' PER GIOCO,SCUOLA INFANZIA NON STATALE,V. MACCHIA DI SAPONARA 247/249,00124,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A07500Q,,paritaria,SCUOLA MATERNA S. CATERINA DA SIENA,SCUOLA INFANZIA NON STATALE,VIA GELASIO II 6,00167,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A325009,,paritaria,SCUOLA MATERNA S. GIUSEPPE DEL CABURLOTTO,SCUOLA INFANZIA NON STATALE,VIA RABELLO 15,00178,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A3Q500E,,paritaria,IL FANTABOSCO,SCUOLA INFANZIA NON STATALE,Via Alessandrini snc,00128,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A51300R,,paritaria,VIA VAGLIA,SCUOLA INFANZIA NON STATALE,VIA CINIGGIANO 50,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A34000B,,paritaria,SCUOLA MATERNA C.E.F.A. PETRANOVA,SCUOLA INFANZIA NON STATALE,VIA PAVIA,00161,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A673009,,paritaria,IL PICCOLO MANDARINO,SCUOLA INFANZIA NON STATALE,VIA DE GRENET,00143,H501,Roma,,,nessuna,,,,,,,,,,,
RMPSII500C,,paritaria,G. D'ANNUNZIO,SCUOLA SEC. SECONDO GRADO NON STATALE,Via O. Panvinio 11/13,00162,H501,Roma,,,nessuna,,,,35,3,0,3,8.6,LICEO,1,
RM1A62100L,,paritaria,IL CUCCIOLO EX INFERNETTO,SCUOLA INFANZIA NON STATALE,VIA TORCEGNO 19/21,00124,H501,Roma,,,nessuna,,,,,,,,,,,
RMPSI6500C,,paritaria,LICEO SCIENTIFICO SPORTIVO,SCUOLA SEC. SECONDO GRADO NON STATALE,C.SO DUCA DI GENOVA 157/159,00121,H501,Roma,,,nessuna,,,,252,12,4,8,4.8,LICEO,1,
RM1M04100Q,,paritaria,SCUOLA MEDIA S. CHIARA,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA C. TROIANI 90,00144,H501,Roma,,,nessuna,,,,55,2,1,1,3.6,,,
RMPC44500B,,paritaria,LICEO CLASSICO S. GIOVANNI BATTISTA,SCUOLA SEC. SECONDO GRADO NON STATALE,V.CASALE S.PIO V 11,00165,H501,Roma,,,nessuna,,,,99,2,0,2,2,LICEO,1,
RM1A41600B,,paritaria,2 OTTOBRE 1870,SCUOLA INFANZIA NON STATALE,VIA SANTA MARIA ALLEFORNACI 3,00165,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A227004,,paritaria,PRATOLUNGO,SCUOLA INFANZIA NON STATALE,VIA E.B. GIANNI/VIA G.ROSACCIO,00156,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A75500L,,paritaria,IMPARARE GIOCANDO,SCUOLA INFANZIA NON STATALE,VIA A. GREGORETTI 86/88,00122,H501,Roma,,,nessuna,,,,,,,,,,,
RMPLOA500A,,paritaria,LICEO LINGUISTICO POLIZIANO,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA TRAVICELLA 55/61,00179,H501,Roma,,,nessuna,,,,18,1,1,0,5.6,LICEO,1,pochi_alunni
RMTD77500R,,paritaria,ISTITUTO TECNICO COMMERCIALE AMMINISTRAZIONE FINANZA E MARKETING,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA E. NATHAN 41/43,00146,H501,Roma,,,nessuna,,,,31,0,0,0,0,TECNICO,1,
RM1M074003,,paritaria,SCUOLA MEDIA S. GIOVANNI BATTISTA,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA CASALE S. PIO V 11,00165,H501,Roma,,,nessuna,,,,197,3,0,3,1.5,,,
RM1E00300Q,,paritaria,SCUOLA ELEM.PARIT. S.GIOVANNI BATTISTA,SCUOLA PRIMARIA NON STATALE,VIA DEL CASALE S.PIO V 11-13,00165,H501,Roma,,,nessuna,,,,228,7,3,4,3.1,,,
RMPL00500B,,paritaria,LICEO LINGUISTICO F. HEGEL,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA AURELIO BACCIARINI,00167,H501,Roma,,,nessuna,,,,45,6,2,4,13.3,LICEO,1,
RM1A610006,,paritaria,GIOVANNI XXIII - COMUNALE,SCUOLA INFANZIA NON STATALE,VLE PARTENOPE 55/69,00177,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A679008,,paritaria,SCUOLA MATERNA SORRISO DEGLI ANGELI,SCUOLA INFANZIA NON STATALE,VIA S.COGNETTI DE MARTIS 33,00166,H501,Roma,,,nessuna,,,,,,,,,,,
RM1E03800P,,paritaria,"SCUOLA ELEM.PARIT. SACRA FAMIGLIA ""G.SALVADORI""",SCUOLA PRIMARIA NON STATALE,VIA DEI CARRARESI 1/3,00164,H501,Roma,,,nessuna,,,,22,15,2,13,68.2,,,
RM1M05000E,,paritaria,SCUOLA MEDIA MATER CARMELI,SCUOLA SEC. PRIMO GRADO NON STATALE,V.A.BENNICELLI 69/71,00151,H501,Roma,,,nessuna,,,,79,1,0,1,1.3,,,
RM1A073004,,paritaria,SCUOLA MATERNA S. ANTONIO,SCUOLA INFANZIA NON STATALE,VIA DELLA BALDUINA 292/296,00136,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A37200V,,paritaria,CASTEL DI GUIDO,SCUOLA INFANZIA NON STATALE,VIA G. SODINO 24,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A67100N,,paritaria,IL PINETO EX ACQUA ROSSA,SCUOLA INFANZIA NON STATALE,LARGO MARIANNE,00121,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A23900A,,paritaria,TEODORO MOMMSEN,SCUOLA INFANZIA NON STATALE,VIA BARTOLONI,00179,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A24600D,,paritaria,CENTRONI - COMUNALE,SCUOLA INFANZIA NON STATALE,VIA FOSSO SANT'ANDREA,00040,H501,Roma,,,nessuna,,,,,,,,,,,
RMTD43500Q,,paritaria,I.T.A.F.M. POLIZIANO,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA TRAVICELLA 55/61,00179,H501,Roma,,,nessuna,,,,22,0,0,0,0,TECNICO,1,
RM1ALM5000,,paritaria,LA FIABA NEL BOSCO,SCUOLA INFANZIA NON STATALE,Via di Vallerano 162-164,00128,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A26500V,,paritaria,INFANZIA PARIT. SANTA PAOLA E. CERIOLI,SCUOLA INFANZIA NON STATALE,VIA CASILINA 631/633,00177,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A64800L,,paritaria,RENZO DA CERI,SCUOLA INFANZIA NON STATALE,VIA G DEGLI UBERTINI,00176,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A418003,,paritaria,IL POGGIO EX POGGIO DI ACILIA,SCUOLA INFANZIA NON STATALE,VIA POGGIO DI ACILIA,00126,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A008001,,paritaria,SCUOLA MATERNA S. BENEDETTO,SCUOLA INFANZIA NON STATALE,VIA TOR DE' SCHIAVI 112/116,00172,H501,Roma,,,nessuna,,,,,,,,,,,
RMPSIZ500B,,paritaria,S. Giovanni Battista Liceo scient. indi. sportivo,SCUOLA SEC. SECONDO GRADO NON STATALE,V. del Casale di S. Pio V 11/13,00165,H501,Roma,,,nessuna,,,,93,2,0,2,2.2,LICEO,1,
RM1A51900Q,,paritaria,VILLAGGIO INA CASA,SCUOLA INFANZIA NON STATALE,VIA RIVISONDOLI 39/41,00156,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A50500T,,paritaria,CISBERTO VECCHI,SCUOLA INFANZIA NON STATALE,VIA CISBERTO VECCHI,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A701008,,paritaria,LA GABBIANELLA,SCUOLA INFANZIA NON STATALE,VIA MARINO FASAN 80,00121,H501,Roma,,,nessuna,,,,,,,,,,,
RM1E001004,,paritaria,PRIMARIA PARIT. SANTA PAOLA E. CERIOLI,SCUOLA PRIMARIA NON STATALE,VIA CASILINA 631/633,00177,H501,Roma,,,nessuna,,,,137,14,2,12,10.2,,,
RM1A66300P,,paritaria,LA COLLINA DEGLI ULIVI,SCUOLA INFANZIA NON STATALE,VIA DELLA STAZIONE DI COLLE MATTIA S.N.C.,00132,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A51800X,,paritaria,ALBERTO SORDI EX VILLADOSSOLA,SCUOLA INFANZIA NON STATALE,VIA DI VILLADOSSOLA,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1EQM5004,,paritaria,COSI' PER GIOCO,SCUOLA PRIMARIA NON STATALE,V. di Macchia Saponara n.247,00124,H501,Roma,,,nessuna,,,,114,2,1,1,1.8,,,
RM1A023003,,paritaria,SCUOLA MATERNA SUORE OBLATE SACRA FAMIGLIA,SCUOLA INFANZIA NON STATALE,VIA DEI CARRARESI 1/3,00164,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A504002,,paritaria,VAL DI LANZO,SCUOLA INFANZIA NON STATALE,VIA VAL DI LANZO- VIA VALLE SCRIVIA,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1MQH500U,,paritaria,SECONDARIA DI I GRADO PARIT. SANTA PAOLA E. CERIOLI,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA CASILINA 631/633,00177,H501,Roma,,,nessuna,,,,67,8,0,8,11.9,,,
RM1ALT5005,,paritaria,GOGHLIGO,SCUOLA INFANZIA NON STATALE,Via Herbert Spencer 76/80,00177,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A16300A,,paritaria,SCUOLA MATERNA ANCILLA DOMINI,SCUOLA INFANZIA NON STATALE,VIA CASSIA ANTICA 434,00189,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A11100N,,paritaria,SCUOLA MATERNA S. GIOVANNI BATTISTA,SCUOLA INFANZIA NON STATALE,VIA CASALE SAN PIO V 11/13,00165,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A43500R,,paritaria,MARCHISIO,SCUOLA INFANZIA NON STATALE,VIA MARCHISIO,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1E00800V,,paritaria,SCUOLA ELEM.PARIT. S.BENEDETTO,SCUOLA PRIMARIA NON STATALE,VIA TOR DE' SCHIAVI 112/116,00172,H501,Roma,,,nessuna,,,,87,2,1,1,2.3,,,
RM1E086004,,paritaria,SCUOLA ELEM.PARIF. SANTA CATERINA DA SIENA,SCUOLA PRIMARIA NON STATALE,PLE NUMA POMPILIO 45,00184,H501,Roma,,,nessuna,,,,39,22,1,21,56.4,,,
RM1A17400R,,paritaria,SCUOLA MATERNA INTERNAZ.MONTESSORI NERINA NOE',SCUOLA INFANZIA NON STATALE,VIA VIGGIANO 78/80,00178,H501,Roma,,,nessuna,,,,,,,,,,,
RM1AGD500V,,paritaria,LATTE E BISCOTTI,SCUOLA INFANZIA NON STATALE,V. ORICOLA 57,00132,H501,Roma,,,nessuna,,,,,,,,,,,
RM1EVQ500H,,paritaria,L'AURORA,SCUOLA PRIMARIA NON STATALE,V. Tommaso Traetta n.68,00124,H501,Roma,,,nessuna,,,,108,6,2,4,5.6,,,
RM1A34500E,,paritaria,ARCOBALENO EX SAN DANIELE,SCUOLA INFANZIA NON STATALE,VIA SAN DANIELE DEL FRIULI,00188,H501,Roma,,,nessuna,,,,,,,,,,,
RMPS00500L,,paritaria,LICEO SCIENTIFICO POLIZIANO,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA TRAVICELLA 55/61,00179,H501,Roma,,,nessuna,,,,18,1,0,1,5.6,LICEO,1,pochi_alunni
RM1ATP500P,,paritaria,Mondo infanzia alle Dodici Stelle,SCUOLA INFANZIA NON STATALE,Piazza delle Scuole Pie snc,00044,H501,Roma,,,nessuna,,,,,,,,,,,
