citta,scuole,osm_plesso,fgb_civico,fgb_cognome,civico,nominatim,osm_istituto,fgb_via,nessuna,fuori_comune,con_alunni,con_alunni_geoloc,osm_fgb_confronti,osm_fgb_conflitti,osm_civico_confronti,osm_civico_conflitti
Roma,1833,33,549,268,823,8,4,32,116,1,1083,1042,26,4,33,1
Milano,800,95,138,162,346,11,1,1,46,8,514,492,68,4,91,7
Napoli,723,3,132,66,351,2,1,52,116,1,409,348,0,0,3,0
Torino,503,9,172,41,266,3,0,2,10,0,295,293,7,3,8,1
Palermo,592,6,132,51,301,0,3,29,70,0,302,277,0,0,6,0
Genova,389,15,137,121,108,0,0,0,8,0,225,221,13,0,15,2
Bologna,276,36,89,42,77,12,0,1,19,1,142,138,31,4,35,6
Firenze,274,2,80,64,112,1,0,6,9,1,167,161,2,1,2,1
Bari,208,0,27,32,98,5,1,10,35,0,112,96,0,0,0,0
Catania,284,23,43,14,146,10,35,0,13,5,169,162,8,5,13,6
Venezia,189,6,42,17,114,1,0,1,8,0,115,111,3,0,5,0
Verona,234,47,47,37,97,1,0,0,5,0,147,145,39,1,47,4
