codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
RMEE85901D,RMIC85900B,statale,LA GIUSTINIANA,SCUOLA PRIMARIA,VIA G. SILLA 3,00189,H501,Roma,12.4118,41.98352,fgb_cognome,0580910431,2529930,,511,72,11,61,14.1,,,
RMTH03000V,RMTH03000V,statale,M.COLONNA,ISTITUTO TECNICO NAUTICO,VIA SALVATORE PINCHERLE 201,00146,H501,Roma,12.46626,41.85383,fgb_civico,0580911680,2562845,,314,21,6,15,6.7,TECNICO,1,
RMTD11101N,RMIS11100B,statale,PIERO CALAMANDREI,ISTITUTO TECNICO COMMERCIALE,VIA C. EMERY 97,00188,H501,Roma,12.494011,41.981403,civico,,,,435,81,43,38,18.6,TECNICO,1,
RMPS26000V,RMPS26000V,statale,LS PASTEUR,LICEO SCIENTIFICO,VIA BARELLAI 130,00135,H501,Roma,12.374652,42.013821,civico,0580911153,,,1027,108,38,70,10.5,LICEO,1,
RMEE8E6012,RMIC8E600X,statale,A. TONA,SCUOLA PRIMARIA,VIA EMILIO MACRO25 - 31,00169,H501,Roma,12.57619,41.870931,osm_plesso,0580910541,,way/1558772475,222,50,6,44,22.5,,,
RMAA8FB047,RMIC8FB007,statale,VIA TORRENOVA 24,SCUOLA INFANZIA,VIA TORRENOVA 24,00133,H501,Roma,12.61861,41.86512,fgb_cognome,0580910550,2639987,,,,,,,,,
RMEE8EW012,RMIC8EW00X,statale,MASIH IQBAL,SCUOLA PRIMARIA,VIA FERRAIRONI 38,00172,H501,Roma,12.557772,41.879196,civico,,,,329,19,5,14,5.8,,,
RMMM820016,RMIC820005,statale,VIA RIVISONDOLI 39,SCUOLA PRIMO GRADO,VIA RIVISONDOLI 39,00156,H501,Roma,12.57111,41.92893,fgb_cognome,0580910893,2630973,,182,84,11,73,46.2,,,
RMMM81001G,RMIC81000E,statale,VILLARI P.,SCUOLA PRIMO GRADO,VIA RAMIRO FABIANI 45,00158,H501,Roma,12.550132,41.921409,fgb_cognome,0580911126,959751,,245,44,3,41,18,,,
RMTE091015,RMIS09100B,statale,"I.I.S. ""VIA DEI PAPARESCHI""",ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF),VIA DEI PAPARESCHI 30/A,00146,H501,Roma,12.470171,41.869861,fgb_civico,0580913911,3211,,202,35,12,23,17.3,TECNICO,1,
RMRC11101A,RMIS11100B,statale,STENDHAL,IST PROF PER I SERVIZI TURISTICI,VIA CASSIA 726/734,00189,H501,Roma,12.444608,41.965046,osm_plesso,0580911042,,way/840906422,235,79,11,68,33.6,PROFESSIONALE,1,
RMAA855011,RMIC855004,statale,DON MOROSINI - INFANZIA,SCUOLA INFANZIA,VIA PATERNO' 20,00133,H501,Roma,12.67103,41.85776,fgb_civico,0580910095,983961,,,,,,,,,
RMEE8EW023,RMIC8EW00X,statale,ROMOLO BALZANI,SCUOLA PRIMARIA,VIA ROMOLO BALZANI 55,00172,H501,Roma,12.55447,41.87983,fgb_cognome,0580910525,983761,,223,33,2,31,14.8,,,
RMEE8EU01A,RMIC8EU008,statale,TRILUSSA,SCUOLA PRIMARIA,VIA ANAGNI 48,00171,H501,Roma,12.55647,41.89002,fgb_civico,0580910324,2632187,,294,74,7,67,25.2,,,
RMEE8B6027,RMIC8B6004,statale,DON MICHELE RUA,SCUOLA PRIMARIA,VIA GIUSEPPE BELLONI 30,00175,H501,Roma,12.56917,41.85727,fgb_cognome,0580910444,2631925,,186,43,0,43,23.1,,,
RMMM8FC014,RMIC8FC003,statale,SMS VIA DI TORRENOVA,SCUOLA PRIMO GRADO,VIA DI TORRENOVA 147,00133,H501,Roma,12.61851,41.87268,fgb_civico,0580910969,983963,,331,138,41,97,41.7,,,
RMEE8FS03B,RMIC8FS007,statale,PASCOLI,SCUOLA PRIMARIA,VIA PAPARESCHI 22/A,00146,H501,Roma,12.469243,41.869561,fgb_civico,0580911249,983689,,151,64,2,62,42.4,,,
RMPC080007,RMPC080007,statale,"L.G.S ""ENNIO QUIRINO VISCONTI""",LICEO CLASSICO,PIAZZA DEL COLLEGIO ROMANO 4,00186,H501,Roma,12.480286,41.898559,fgb_cognome,0580911353,327065,,687,16,8,8,2.3,LICEO,1,
RMSL08901P,RMIS08900B,statale,LICEO ARTISTICO MULTIMEDIA ROSSELLINI,LICEO ARTISTICO,VIA DELLA VASCA NAVALE 58,00146,H501,Roma,12.468559,41.85643,fgb_civico,0580911791,737062,,334,17,4,13,5.1,LICEO,1,
RMEE833019,RMIC833007,statale,VIA NIOBE,SCUOLA PRIMARIA,VIA NIOBE 50,00118,H501,Roma,12.6151,41.82197,fgb_civico,0580910409,2638918,,158,47,17,30,29.7,,,
RMEE82301P,RMIC82300L,statale,ELEMENTARE VIA PENAZZATO,SCUOLA PRIMARIA,VIA D. PENAZZATO 72,00177,H501,Roma,12.56485,41.89773,fgb_cognome,0580910315,983758,,201,10,2,8,5,,,
RMEE855016,RMIC855004,statale,DON MOROSINI - PRIMARIA,SCUOLA PRIMARIA,VIA PATERNO' 20,00133,H501,Roma,12.67103,41.85776,fgb_civico,0580910095,983961,,104,25,11,14,24,,,
RMMM8AG01A,RMIC8AG009,statale,BORGHI,SCUOLA PRIMO GRADO,LARGO G. BORGHI 6,00188,H501,Roma,12.47987,42.00839,fgb_cognome,0580910056,2529878,,242,70,23,47,28.9,,,
RMEE8B8041,RMIC8B800Q,statale,ARVALIA,SCUOLA PRIMARIA,VIA MONTE DELLE CAPRE 39,00148,H501,Roma,12.430938,41.844733,osm_plesso,0580913287,,way/815902142,207,108,28,80,52.2,,,
RMMM8FS018,RMIC8FS007,statale,GIUSEPPE BAGNERA,SCUOLA PRIMO GRADO,VIA GIUSEPPE BAGNERA64,00146,H501,Roma,12.4726,41.86275,fgb_civico,0580910976,983844,,542,154,6,148,28.4,,,
RMTN02000C,RMTN02000C,statale,ITTUR LIVIA BOTTARDI,ISTITUTO TECNICO PER IL TURISMO,VIA FILIBERTO PETITI N. 97,00155,H501,Roma,12.602949,41.908431,civico,,,,662,85,27,58,12.8,TECNICO,1,
RMMM8B6015,RMIC8B6004,statale,SVEVO,SCUOLA PRIMO GRADO,VIA SALVIOLI 20,00175,H501,Roma,12.56734,41.85799,fgb_civico,0580910952,2512653,,460,81,10,71,17.6,,,
RMEE8EU02B,RMIC8EU008,statale,VIA FIUGGI,SCUOLA PRIMARIA,VIA FIUGGI 18,00171,H501,Roma,12.56025,41.88934,fgb_civico,0580910325,983788,,217,60,12,48,27.6,,,
RMEE8CR029,RMIC8CR006,statale,VIA GASTINELLI,SCUOLA PRIMARIA,VIA GASTRINELLI 58,00132,H501,Roma,12.652406,41.908015,civico,,,,588,50,16,34,8.5,,,
RMAA8E602T,RMIC8E600X,statale,VIA GIAQUINTO,SCUOLA INFANZIA,VIA A.GIAQUINTO12,00169,H501,Roma,12.57526,41.86776,fgb_cognome,0580910103,983797,,,,,,,,,
RMAA8FB014,RMIC8FB007,statale,VIA POSEIDONE,SCUOLA INFANZIA,VIA POSEIDONE 39,00133,H501,Roma,12.62034,41.86985,fgb_civico,0580913298,2639978,,,,,,,,,
RMEE8EX03X,RMIC8EX00Q,statale,MADRE TERESA DI CALCUTTA,SCUOLA PRIMARIA,VIA OLCESE16,00155,H501,Roma,12.58842,41.88185,fgb_cognome,0580910349,2632744,,189,16,0,16,8.5,,,
RMMM8GX012,RMIC8GX001,statale,"""G.G.BELLI""",SCUOLA PRIMO GRADO,VIA A. MORDINI 19,00195,H501,Roma,12.464489,41.916741,fgb_cognome,0580910013,220136,,695,24,4,20,3.5,,,
RMPC07000L,RMPC07000L,statale,DANTE ALIGHIERI,LICEO CLASSICO,VIA ENNIO QUIRINO VISCONTI 13,00193,H501,Roma,12.471201,41.908188,civico,,,,602,12,3,9,2,LICEO,1,
RMPS09101T,RMIS09100B,statale,"I.I.S. ""VIA DEI PAPARESCHI""",LICEO SCIENTIFICO,VIA DEI PAPARESCHI 30/A,00146,H501,Roma,12.470171,41.869861,fgb_civico,0580913911,3211,,1106,130,47,83,11.8,LICEO,1,
RMEE8FH029,RMIC8FH006,statale,FRIGNANI,SCUOLA PRIMARIA,VIA FRIGNANI 97,00128,H501,Roma,12.44843,41.79031,fgb_civico,0580910563,983973,,213,56,10,46,26.3,,,
RMEE81001L,RMIC81000E,statale,VITTORIO VENETO,SCUOLA PRIMARIA,VIA POMONA,00158,H501,Roma,12.55457,41.917,fgb_civico,0580910411,2631121,,79,14,10,4,17.7,,,
RMEE834026,RMIC834003,statale,VIA ORIOLI,SCUOLA PRIMARIA,VIA ORIOLI 34,00119,H501,Roma,12.30561,41.769945,civico,,,,217,12,9,3,5.5,,,
